it_co_receita,it_no_receita
9513,IPERON- PREF P IMENTA BUENO- Outros,9513 - IPERON- PREF P IMENTA BUENO- Outros
9514,IPERON- PREF P BUENO- Juros/M /AtM- Servidor,9514 - IPERON- PREF P BUENO- Juros/M /AtM- Servidor
9515,IPERON- PREF P BUENO- Juros/M /AtM- Patronal,9515 - IPERON- PREF P BUENO- Juros/M /AtM- Patronal
9516,IPERON- PREF PORTO VELHO- Servidor,9516 - IPERON- PREF PORTO VELHO- Servidor
9517,IPERON- PREF PORTO VELHO- Patronal,9517 - IPERON- PREF PORTO VELHO- Patronal
9518,IPERON- PREF PORTO VELHO- Outros,9518 - IPERON- PREF PORTO VELHO- Outros
9519,IPERON- PREF P VELHO- Juros/M/A tM - Servidor,9519 - IPERON- PREF P VELHO- Juros/M/A tM - Servidor
9520,IPERON- PREF P VELHO- Juros/M/A tM - Patronal,9520 - IPERON- PREF P VELHO- Juros/M/A tM - Patronal
9521,IPERON- PREF PRES IDENTE MEDICI- Servidor,9521 - IPERON- PREF PRES IDENTE MEDICI- Servidor
6522,IPERON- PREF PRES IDENTE MEDICI- Patronal,6522 - IPERON- PREF PRES IDENTE MEDICI- Patronal
9523,IPERON- PREF PRES IDENTE MEDICI- Outros,9523 - IPERON- PREF PRES IDENTE MEDICI- Outros
9524,IPERON- PREF P MEDICI- Juros/M/A tM - Servidor,9524 - IPERON- PREF P MEDICI- Juros/M/A tM - Servidor
9525,IPERON- PREF P MEDICI- Juros/M/A tM - Patronal,9525 - IPERON- PREF P MEDICI- Juros/M/A tM - Patronal
9526,IPERON- PREF RIO CRESPO- Servidor,9526 - IPERON- PREF RIO CRESPO- Servidor
9527,IPERON- PREF RIO CRESPO- Patronal,9527 - IPERON- PREF RIO CRESPO- Patronal
9528,IPERON- PREF RIO CRESPO- Outros,9528 - IPERON- PREF RIO CRESPO- Outros
9529,IPERON- PREF R CRESPO- Juros/M /AtM - Servidor,9529 - IPERON- PREF R CRESPO- Juros/M /AtM - Servidor
9530,IPERON- PREF R CRESPO- Juros/M /AtM - Patronal,9530 - IPERON- PREF R CRESPO- Juros/M /AtM - Patronal
9531,IPERON- PREF ROLlM DE MOURA- Servidor,9531 - IPERON- PREF ROLlM DE MOURA- Servidor
9532,IPERON- PREF ROLlM DE MOURA- Patronal,9532 - IPERON- PREF ROLlM DE MOURA- Patronal
9533,IPERON- PREF ROLlM DE MOURA- Outros,9533 - IPERON- PREF ROLlM DE MOURA- Outros
9534,IPERON- PREF R MOURA- Juros/M/AtM- Servidor,9534 - IPERON- PREF R MOURA- Juros/M/AtM- Servidor
9535,IPERON- PREF R MOURA- Juros/M /AtM - Patronal,9535 - IPERON- PREF R MOURA- Juros/M /AtM - Patronal
9536,IPERON- PREF SANTA LUZIA D'OESTE- Servidor,9536 - IPERON- PREF SANTA LUZIA D'OESTE- Servidor
9537,IPERON- PREF SANTA LUZIA D'OESTE- Patronal,9537 - IPERON- PREF SANTA LUZIA D'OESTE- Patronal
9538,IPERON- PREF SANTA LUZIA D'OESTE- Outros,9538 - IPERON- PREF SANTA LUZIA D'OESTE- Outros
9539,IPERON- PREF SANTA LUZIA- Juros/M /AtM - Servidor,9539 - IPERON- PREF SANTA LUZIA- Juros/M /AtM - Servidor
9540,IPERON- PREF SANTA LUZIA- Juros/M /AtM - Patronal,9540 - IPERON- PREF SANTA LUZIA- Juros/M /AtM - Patronal
9541,IPERON- PRE F V ILHENA- Servidor,9541 - IPERON- PRE F V ILHENA- Servidor
9542,IPERON- PRE F V ILHENA- Patronal,9542 - IPERON- PRE F V ILHENA- Patronal
9543,IPERON- PRE F V ILHENA- Outros,9543 - IPERON- PRE F V ILHENA- Outros
9544,IPERON- PRE F V ILHENA- Juros/M/AtM- Servidor,9544 - IPERON- PRE F V ILHENA- Juros/M/AtM- Servidor
9545,IPERON- PRE F V ILHENA- Juros/M/AtM- Patronal,9545 - IPERON- PRE F V ILHENA- Juros/M/AtM- Patronal
9546,IPERON- PREF S MIGUEL GUAPORE- Servidor,9546 - IPERON- PREF S MIGUEL GUAPORE- Servidor
9547,IPERON- PREF S MIGUEL GUAPORE- Patronal,9547 - IPERON- PREF S MIGUEL GUAPORE- Patronal
9548,IPERON- PREF S MIGUEL GUAPORE- Outros,9548 - IPERON- PREF S MIGUEL GUAPORE- Outros
9549,IPERON- PREF S MIGUEL- Juro s/M/A tM - Servidor,9549 - IPERON- PREF S MIGUEL- Juro s/M/A tM - Servidor
9550,IPERON- PREF S MIGUEL- Juro s/M/A tM - Patronal,9550 - IPERON- PREF S MIGUEL- Juro s/M/A tM - Patronal
9551,IPERON- PREF NOVA MAMORE- Servidor,9551 - IPERON- PREF NOVA MAMORE- Servidor
9552,IPERON- PREF NOVA MAMORE- Patronal,9552 - IPERON- PREF NOVA MAMORE- Patronal
9553,IPERON- PREF NOVA MAMORE- Outros,9553 - IPERON- PREF NOVA MAMORE- Outros
9554,IPERON- PREF N MAMORE- Juros/M /A tM - Servidor,9554 - IPERON- PREF N MAMORE- Juros/M /A tM - Servidor
9555,IPERON- PREF N MAMORE- Juros/M /A tM - Patronal,9555 - IPERON- PREF N MAMORE- Juros/M /A tM - Patronal
9556,IPERON- PREF ALVORADA D'OESTE- Servidor,9556 - IPERON- PREF ALVORADA D'OESTE- Servidor
9557,IPERON- PREF ALVORADA D'OESTE- Patrona l,9557 - IPERON- PREF ALVORADA D'OESTE- Patrona l
9558,IPERON- PREF ALVORADA D'OESTE- Outros,9558 - IPERON- PREF ALVORADA D'OESTE- Outros
9559,IPERON- PREF ALVORADA- Juros/M /AtM - Servidor,9559 - IPERON- PREF ALVORADA- Juros/M /AtM - Servidor
9560,IPERON- PREF ALVORADA- Juros/M /AtM - Patronal,9560 - IPERON- PREF ALVORADA- Juros/M /AtM - Patronal
9561,IPERON- PREF ALTO ALEGRE- Servidor,9561 - IPERON- PREF ALTO ALEGRE- Servidor
9562,IPERON- PREF ALTO ALEGRE- Patronal,9562 - IPERON- PREF ALTO ALEGRE- Patronal
9563,IPERON- PREF ALTO ALEGRE- Outros,9563 - IPERON- PREF ALTO ALEGRE- Outros
9564,IPERON- PREF A ALEGRE- Juro s/M /A tM - Servidor,9564 - IPERON- PREF A ALEGRE- Juro s/M /A tM - Servidor
9565,IPERON- PREF A ALEGRE- Juro s/M /A tM - Patronal,9565 - IPERON- PREF A ALEGRE- Juro s/M /A tM - Patronal
9566,IPERON- PREF ALTO PARAISO- Servidor,9566 - IPERON- PREF ALTO PARAISO- Servidor
9567,IPERON- PREF ALTO PARAISO- Patronal,9567 - IPERON- PREF ALTO PARAISO- Patronal
9568,IPERON- PREF ALTO PARAISO- Outros,9568 - IPERON- PREF ALTO PARAISO- Outros
9569,IPERON- PREF A PARA ISO- Juros/M /A tM - Servidor,9569 - IPERON- PREF A PARA ISO- Juros/M /A tM - Servidor
9570,IPERON- PREF A PARA ISO- Juros/M /A tM - Patronal,9570 - IPERON- PREF A PARA ISO- Juros/M /A tM - Patronal
9571,IPERON- PREF BURITIS- Servidor,9571 - IPERON- PREF BURITIS- Servidor
9572,IPERON- PREF BURITIS- Patronal,9572 - IPERON- PREF BURITIS- Patronal
9573,IPERON- PREF BURITIS- Outros,9573 - IPERON- PREF BURITIS- Outros
9574,IPERON- PREF BURITIS- Juros/M /AtM - Servidor,9574 - IPERON- PREF BURITIS- Juros/M /AtM - Servidor
9575,IPERON- PREF BURITIS- Juros/M /AtM - Patronal,9575 - IPERON- PREF BURITIS- Juros/M /AtM - Patronal
9576,IPERON- PREF NOVO HORIZONTE- Servidor,9576 - IPERON- PREF NOVO HORIZONTE- Servidor
9577,IPERON- PREF NOVO HORIZONTE- Patronal,9577 - IPERON- PREF NOVO HORIZONTE- Patronal
9578,IPERON- PREF NOVO HORIZONTE- Outros,9578 - IPERON- PREF NOVO HORIZONTE- Outros
9579,IPERON- PREF N HORIZONTE- Juros/M/A tM - Servidor,9579 - IPERON- PREF N HORIZONTE- Juros/M/A tM - Servidor
9580,IPERON- PREF N HORIZONTE- Juros/M/A tM - Patronal,9580 - IPERON- PREF N HORIZONTE- Juros/M/A tM - Patronal
9581,IPERON- PREF CACAULANDIA- Servidor,9581 - IPERON- PREF CACAULANDIA- Servidor
9582,IPERON- PREF CACAULANDIA- Patronal,9582 - IPERON- PREF CACAULANDIA- Patronal
9583,IPERON- PREF CACAULANDIA- Outros,9583 - IPERON- PREF CACAULANDIA- Outros
9584,IPERON- PREF CACAULANDIA- Juros/M/A tM - Servidor,9584 - IPERON- PREF CACAULANDIA- Juros/M/A tM - Servidor
9585,IPERON- PREF CACAULANDIA- Juros/M/A tM - Patronal,9585 - IPERON- PREF CACAULANDIA- Juros/M/A tM - Patronal
9586,IPERON- PREF CAMPO NOVO- Servidor,9586 - IPERON- PREF CAMPO NOVO- Servidor
9587,IPERON- PREF CAMPO NOVO- Patronal,9587 - IPERON- PREF CAMPO NOVO- Patronal
9588,IPERON- PREF CAMPO NOVO- Outros,9588 - IPERON- PREF CAMPO NOVO- Outros
9589,IPERON- PREF C NOVO- Juros/M /AtM - Servidor,9589 - IPERON- PREF C NOVO- Juros/M /AtM - Servidor
9590,IPERON- PREF C NOVO- Juros/M /AtM - Patronal,9590 - IPERON- PREF C NOVO- Juros/M /AtM - Patronal
9591,IPERON- PREF CANDEIAS DO JAMARI- Servidor,9591 - IPERON- PREF CANDEIAS DO JAMARI- Servidor
9592,IPERON- PREF CANDEIAS DO JAMARI- Patronal,9592 - IPERON- PREF CANDEIAS DO JAMARI- Patronal
9593,IPERON- PREF CANDEIAS DO JAMARI- Outros,9593 - IPERON- PREF CANDEIAS DO JAMARI- Outros
9594,IPERON- PREF CANDEIAS- Juros/M /AtM - Servidor,9594 - IPERON- PREF CANDEIAS- Juros/M /AtM - Servidor
9595,IPERON- PREF CANDEIAS- Juros/M /AtM - Patronal,9595 - IPERON- PREF CANDEIAS- Juros/M /AtM - Patronal
9596,IPERON- PREF CASTANHEIRAS- Servidor,9596 - IPERON- PREF CASTANHEIRAS- Servidor
9597,IPERON- PREF CASTANHEIRAS- Patronal,9597 - IPERON- PREF CASTANHEIRAS- Patronal
9598,IPERON- PREF CASTANHEIRAS- Outros,9598 - IPERON- PREF CASTANHEIRAS- Outros
9599,IPERON- PREF CASTANHEIRAS- Juros/M /AtM - Servidor,9599 - IPERON- PREF CASTANHEIRAS- Juros/M /AtM - Servidor
9600,IPERON- PREF CASTANHEIRAS- Juros/M /AtM - Patronal,9600 - IPERON- PREF CASTANHEIRAS- Juros/M /AtM - Patronal
9601,IPERON- PRE F CHUP INGUAIA- Servidor,9601 - IPERON- PRE F CHUP INGUAIA- Servidor
9602,IPERON- PRE F CHUP INGUAIA- Patronal,9602 - IPERON- PRE F CHUP INGUAIA- Patronal
9603,IPERON- PRE F CHUP INGUAIA- Outros,9603 - IPERON- PRE F CHUP INGUAIA- Outros
9604,IPERON- PRE F CHUP INGUAIA- Juros/M /AtM - Servidor,9604 - IPERON- PRE F CHUP INGUAIA- Juros/M /AtM - Servidor
9605,IPERON- PRE F CHUP INGUAIA- Juros/M /AtM - Patronal,9605 - IPERON- PRE F CHUP INGUAIA- Juros/M /AtM - Patronal
9606,IPERON- PREF CUJUBIM- Servidor,9606 - IPERON- PREF CUJUBIM- Servidor
9607,IPERON- PREF CUJUBIM- Patronal,9607 - IPERON- PREF CUJUBIM- Patronal
9608,IPERON- PREF CUJUBIM- Outros,9608 - IPERON- PREF CUJUBIM- Outros
9609,IPERON- PREF CUJUBIM- Juros/M /A tM- Servidor,9609 - IPERON- PREF CUJUBIM- Juros/M /A tM- Servidor
9610,IPERON- PREF CUJUBIM- Juros/M/A tM - Patronal,9610 - IPERON- PREF CUJUBIM- Juros/M/A tM - Patronal
9611,IPERON- PREF GOV JORGE TE IXE IRA- Servidor,9611 - IPERON- PREF GOV JORGE TE IXE IRA- Servidor
9612,IPERON- PREF GOV JORGE TE IXE IRA- Patronal,9612 - IPERON- PREF GOV JORGE TE IXE IRA- Patronal
9613,IPERON- PREF GOV JORGE TE IXE IRA- Outros,9613 - IPERON- PREF GOV JORGE TE IXE IRA- Outros
9614,IPERON- PREF G J TEIXEIRA- Juros/M /AtM- Servidor,9614 - IPERON- PREF G J TEIXEIRA- Juros/M /AtM- Servidor
9615,IPERON- PREF G J TEIXEIRA- Juros/M /AtM- Patronal,9615 - IPERON- PREF G J TEIXEIRA- Juros/M /AtM- Patronal
9616,IPERON- PRE F ITAPOA D 'OESTE- Servidor,9616 - IPERON- PRE F ITAPOA D 'OESTE- Servidor
9617,IPERON- PRE F ITAPOÃ D'OESTE- Patronal,9617 - IPERON- PRE F ITAPOÃ D'OESTE- Patronal
9618,IPERON- PRE F ITAPOÃ D 'OESTE- Outros,9618 - IPERON- PRE F ITAPOÃ D 'OESTE- Outros
9619,IPERON- PRE F ITAPOÃ- Juros/M /A tM - Servidor,9619 - IPERON- PRE F ITAPOÃ- Juros/M /A tM - Servidor
9620,IPERON- PRE F ITAPOÃ- Juros/M /A tM - Patronal,9620 - IPERON- PRE F ITAPOÃ- Juros/M /A tM - Patronal
9621,IPERON- PREF MINISTRO ANDREAZZA- Servidor,9621 - IPERON- PREF MINISTRO ANDREAZZA- Servidor
9622,IPERON- PREF MINISTRO ANDREAZZA- Patronal,9622 - IPERON- PREF MINISTRO ANDREAZZA- Patronal
9623,IPERON- PREF MINISTRO ANDREAZZA- Outros,9623 - IPERON- PREF MINISTRO ANDREAZZA- Outros
9624,IPERON- PREF M ANDREAZZA- Juros/M /AtM- Servidor,9624 - IPERON- PREF M ANDREAZZA- Juros/M /AtM- Servidor
9625,IPERON- PREF M ANDREAZZA- Juros/M /AtM- Patronal,9625 - IPERON- PREF M ANDREAZZA- Juros/M /AtM- Patronal
9626,IPERON- PREF MIRANTE DA SERRA- Servidor,9626 - IPERON- PREF MIRANTE DA SERRA- Servidor
9627,IPERON- PREF MIRANTE DA SERRA- Patronal,9627 - IPERON- PREF MIRANTE DA SERRA- Patronal
9628,IPERON- PREF MIRANTE DA SERRA- Outros,9628 - IPERON- PREF MIRANTE DA SERRA- Outros
9629,IPERON- PREF M DA SERRA- Juros/M/AtM- Servidor,9629 - IPERON- PREF M DA SERRA- Juros/M/AtM- Servidor
9630,IPERON- PREF M DA SERRA- Juros/M/AtM- Patronal,9630 - IPERON- PREF M DA SERRA- Juros/M/AtM- Patronal
9631,IPERON- PRE F MONTE NEGRO- Servidor,9631 - IPERON- PRE F MONTE NEGRO- Servidor
9632,IPERON- PRE F MONTE NEGRO- Patronal,9632 - IPERON- PRE F MONTE NEGRO- Patronal
9633,IPERON- PRE F MONTE NEGRO- Outros,9633 - IPERON- PRE F MONTE NEGRO- Outros
9634,IPERON- PREF M NEGRO- Juros/M /A tM - Servidor,9634 - IPERON- PREF M NEGRO- Juros/M /A tM - Servidor
9635,IPERON- PREF M NEGRO- Juros/M /A tM - Patronal,9635 - IPERON- PREF M NEGRO- Juros/M /A tM - Patronal
9636,IPERON- PREF NOVA UNIÃO- Servidor,9636 - IPERON- PREF NOVA UNIÃO- Servidor
9637,IPERON- PREF NOVA UNIÃO- Patronal,9637 - IPERON- PREF NOVA UNIÃO- Patronal
9638,IPERON- PREF NOVA UNIÃO- Outros,9638 - IPERON- PREF NOVA UNIÃO- Outros
9639,IPERON- PREF N UNIÃO- Juros/M/AtM- Servidor,9639 - IPERON- PREF N UNIÃO- Juros/M/AtM- Servidor
9640,IPERON- PREF N UNIÃO- Juros/M/AtM- Patronal,9640 - IPERON- PREF N UNIÃO- Juros/M/AtM- Patronal
9641,IPERON- PRE F PARECIS - Servidor,9641 - IPERON- PRE F PARECIS - Servidor
9642,IPERON- PRE F PARECIS- Patronal,9642 - IPERON- PRE F PARECIS- Patronal
9643,IPERON- PRE F PARECIS- Outros,9643 - IPERON- PRE F PARECIS- Outros
9644,IPERON- PRE F PARECIS- Juros/M/AtM- Servidor,9644 - IPERON- PRE F PARECIS- Juros/M/AtM- Servidor
9645,IPERON- PRE F PARECIS- Juros/M/AtM- Patronal,9645 - IPERON- PRE F PARECIS- Juros/M/AtM- Patronal
9646,IPERON- PRE F P IMENTE IRA- Servidor,9646 - IPERON- PRE F P IMENTE IRA- Servidor
9647,IPERON- PRE F P IMENTE IRA- Patronal,9647 - IPERON- PRE F P IMENTE IRA- Patronal
9648,IPERON- PRE F P IMENTE IRA- Outros,9648 - IPERON- PRE F P IMENTE IRA- Outros
9649,IPERON- PRE F P IMENTE IRA- Juros/M /AtM - Servidor,9649 - IPERON- PRE F P IMENTE IRA- Juros/M /AtM - Servidor
9650,IPERON- PRE F P IMENTE IRA- Juros/M /AtM - Patronal,9650 - IPERON- PRE F P IMENTE IRA- Juros/M /AtM - Patronal
9651,IPERON- PRE F PRIMAVERA RO- Servidor,9651 - IPERON- PRE F PRIMAVERA RO- Servidor
9652,IPERON- PRE F PRIMAVERA RO- Patronal,9652 - IPERON- PRE F PRIMAVERA RO- Patronal
9653,IPERON- PRE F PRIMAVERA RO- Outros,9653 - IPERON- PRE F PRIMAVERA RO- Outros
9654,IPERON- PRE F PRIMAVERA- Juros/M/A tM - Servidor,9654 - IPERON- PRE F PRIMAVERA- Juros/M/A tM - Servidor
9655,IPERON- PRE F PRIMAVERA- Juros/M/A tM - Patronal,9655 - IPERON- PRE F PRIMAVERA- Juros/M/A tM - Patronal
9656,IPERON- PRE F SAO FELlPE- Servidor,9656 - IPERON- PRE F SAO FELlPE- Servidor
9657,IPERON- PRE F SAO FELlPE- Patronal,9657 - IPERON- PRE F SAO FELlPE- Patronal
9658,IPERON- PRE F SAO FELlPE- Outros,9658 - IPERON- PRE F SAO FELlPE- Outros
9659,IPERON- PRE F S FELlPE- Juros/M /A tM - Servidor,9659 - IPERON- PRE F S FELlPE- Juros/M /A tM - Servidor
9660,IPERON- PRE F S FELlPE- Juros/M /A tM - Patronal,9660 - IPERON- PRE F S FELlPE- Juros/M /A tM - Patronal
9661,IPERON- PREF S FRANCISCO GUAPORE- Servidor,9661 - IPERON- PREF S FRANCISCO GUAPORE- Servidor
9662,IPERON- PREF S FRANCISCO GUAPORE- Patronal,9662 - IPERON- PREF S FRANCISCO GUAPORE- Patronal
9663,IPERON- PREF S FRANCISCO GUAPORE- Outros,9663 - IPERON- PREF S FRANCISCO GUAPORE- Outros
9664,IPERON- PRE F S FRANCISCO- Juros/M /A tM - Servidor,9664 - IPERON- PRE F S FRANCISCO- Juros/M /A tM - Servidor
9665,IPERON- PRE F S FRANCISCO- Juros/M /A tM - Patronal,9665 - IPERON- PRE F S FRANCISCO- Juros/M /A tM - Patronal
9666,IPERON- PRE F SERINGUEIRAS- Servidor,9666 - IPERON- PRE F SERINGUEIRAS- Servidor
9667,IPERON- PRE F SERINGUEIRAS- Patronal,9667 - IPERON- PRE F SERINGUEIRAS- Patronal
9668,IPERON- PRE F SERINGUEIRAS- Outros,9668 - IPERON- PRE F SERINGUEIRAS- Outros
9669,IPERON- PRE F SERINGUEIRAS- Juros/M/AtM- Servidor,9669 - IPERON- PRE F SERINGUEIRAS- Juros/M/AtM- Servidor
9670,IPERON- PRE F SERINGUEIRAS- Juros/M/AtM- Patronal,9670 - IPERON- PRE F SERINGUEIRAS- Juros/M/AtM- Patronal
9671,IPERON- PRE F TE IXEIROPOLlS- Servidor,9671 - IPERON- PRE F TE IXEIROPOLlS- Servidor
9672,IPERON- PRE F TE IXEIROPOLlS- Patronal,9672 - IPERON- PRE F TE IXEIROPOLlS- Patronal
9673,IPERON- PRE F TE IXEIROPOLlS- Outros,9673 - IPERON- PRE F TE IXEIROPOLlS- Outros
9674,IPERON- PRE F TE IXEIROPOLlS- Juros/M/AtM- Servidor,9674 - IPERON- PRE F TE IXEIROPOLlS- Juros/M/AtM- Servidor
9675,IPERON- PRE F TE IXEIROPOLlS- Juros/M/AtM- Patronal,9675 - IPERON- PRE F TE IXEIROPOLlS- Juros/M/AtM- Patronal
9676,IPERON- PRE F THEOBROMA- Servidor,9676 - IPERON- PRE F THEOBROMA- Servidor
9677,IPERON- PRE F THEOBROMA- Patronal,9677 - IPERON- PRE F THEOBROMA- Patronal
9678,IPERON- PRE F THEOBROMA- Outros,9678 - IPERON- PRE F THEOBROMA- Outros
9679,IPERON- PRE F THEOBROMA- Juros/M /AtM - Servidor,9679 - IPERON- PRE F THEOBROMA- Juros/M /AtM - Servidor
9680,IPERON- PRE F THEOBROMA- Juros/M /AtM - Patronal,9680 - IPERON- PRE F THEOBROMA- Juros/M /AtM - Patronal
9681,IPERON- PREF URUPA- Servidor,9681 - IPERON- PREF URUPA- Servidor
9682,IPERON- PREF URUPA- Patronal,9682 - IPERON- PREF URUPA- Patronal
9683,IPERON- PREF URUPA- Outros,9683 - IPERON- PREF URUPA- Outros
9684,IPERON- PREF URUPA- Juros/M /A tM - Servidor,9684 - IPERON- PREF URUPA- Juros/M /A tM - Servidor
9685,IPERON- PRE F URUPA- Juros/M/A tM - Patronal,9685 - IPERON- PRE F URUPA- Juros/M/A tM - Patronal
9686,IPERON- PREF VALE DO ANARI- Servidor,9686 - IPERON- PREF VALE DO ANARI- Servidor
9687,IPERON- PREF VALE DO ANARI- Patronal,9687 - IPERON- PREF VALE DO ANARI- Patronal
9688,IPERON- PREF VALE DO ANARI- Outros,9688 - IPERON- PREF VALE DO ANARI- Outros
9689,IPERON- PREF V DO ANARI- Juros/M /A tM - Servidor,9689 - IPERON- PREF V DO ANARI- Juros/M /A tM - Servidor
9690,IPERON- PREF V DO ANARI- Juros/M /A tM - Patronal,9690 - IPERON- PREF V DO ANARI- Juros/M /A tM - Patronal
9691,IPERON- PREF VALE DO PARAISO- Se rvidor,9691 - IPERON- PREF VALE DO PARAISO- Se rvidor
9692,IPERON- PREF VALE DO PARAISO- Patronal,9692 - IPERON- PREF VALE DO PARAISO- Patronal
9693,IPERON- PREF VALE DO PARAISO- Outros,9693 - IPERON- PREF VALE DO PARAISO- Outros
9694,IPERON- PREF V DO PARAISO- Juros/M /A tM - Servidor,9694 - IPERON- PREF V DO PARAISO- Juros/M /A tM - Servidor
9695,IPERON- PREF V DO PARAISO- Juros/M /A tM - Patronal,9695 - IPERON- PREF V DO PARAISO- Juros/M /A tM - Patronal
9696,IPERON-INATIVO TJ- Se rvidor,9696 - IPERON-INATIVO TJ- Se rvidor
9697,IPERON- INATIV O T J - Patronal,9697 - IPERON- INATIV O T J - Patronal
9698,IPERON- INATIV O T J - Outros,9698 - IPERON- INATIV O T J - Outros
9699,IPERON- INATIV O T J - Juros/M /AtM - Servidor,9699 - IPERON- INATIV O T J - Juros/M /AtM - Servidor
9700,IPERON- INATIV O T J - Juros/M /AtM - Patronal,9700 - IPERON- INATIV O T J - Juros/M /AtM - Patronal
9701,IPERON- INATIVO TCE- Servidor,9701 - IPERON- INATIVO TCE- Servidor
9702,IPERON- INATIVO TCE- Patronal,9702 - IPERON- INATIVO TCE- Patronal
9703,IPERON- INATIVO TCE- Outros,9703 - IPERON- INATIVO TCE- Outros
9704,IPERON- INATIVO TCE- Juros/M /AtM- Servidor,9704 - IPERON- INATIVO TCE- Juros/M /AtM- Servidor
9705,IPERON- INATIVO TCE- Juros/M /AtM- Patronal,9705 - IPERON- INATIVO TCE- Juros/M /AtM- Patronal
9706,IPERON- INATIVO MP- Servidor,9706 - IPERON- INATIVO MP- Servidor
9707,IPERON- INATIVO MP- Patronal,9707 - IPERON- INATIVO MP- Patronal
9708,IPERON- INATIVO MP- Outros,9708 - IPERON- INATIVO MP- Outros
9709,IPERON- INATIVO MP- Juros/M /AtM- Servidor,9709 - IPERON- INATIVO MP- Juros/M /AtM- Servidor
9710,IPERON- INATIVO MP- Juros/M /AtM- Patronal,9710 - IPERON- INATIVO MP- Juros/M /AtM- Patronal
9711,IPERON- INATIV O IPERON- Servidor,9711 - IPERON- INATIV O IPERON- Servidor
9712,IPERON- INATIV O IPERON- Patronal,9712 - IPERON- INATIV O IPERON- Patronal
9713,IPERON- INATIV O IPERON- Outros,9713 - IPERON- INATIV O IPERON- Outros
9714,IPERON- INATIV O IPERON- Juros/M /A tM - Servidor,9714 - IPERON- INATIV O IPERON- Juros/M /A tM - Servidor
9715,IPERON- INATIV O IPERON- Juros/M /A tM - Patronal,9715 - IPERON- INATIV O IPERON- Juros/M /A tM - Patronal
9716,IPERON- PENSIONISTA T J - Servidor,9716 - IPERON- PENSIONISTA T J - Servidor
9717,IPERON- PENSIONISTA TJ- Patronal,9717 - IPERON- PENSIONISTA TJ- Patronal
9718,IPERON- PENSIONISTA TJ- Outros,9718 - IPERON- PENSIONISTA TJ- Outros
9719,IPERON- PENS TJ- Juros/M /AtM- Servidor,9719 - IPERON- PENS TJ- Juros/M /AtM- Servidor
9720,IPERON- PENS TJ- Juros/M /AtM- Patronal,9720 - IPERON- PENS TJ- Juros/M /AtM- Patronal
9721,IPERON- PENSIONISTA MP- Servidor,9721 - IPERON- PENSIONISTA MP- Servidor
9722,IPERON- PENSIONISTA MP- Patronal,9722 - IPERON- PENSIONISTA MP- Patronal
9723,IPERON- PENSIONISTA MP- Outros,9723 - IPERON- PENSIONISTA MP- Outros
9724,IPERON- PENS MP- Juros/M /A tM - Servidor,9724 - IPERON- PENS MP- Juros/M /A tM - Servidor
9725,IPERON- PENS MP- Juros/M /A tM - Patronal,9725 - IPERON- PENS MP- Juros/M /A tM - Patronal
9726,IPERON- PENSIONISTA TC- Servidor,9726 - IPERON- PENSIONISTA TC- Servidor
9727,IPERON- PENSIONISTA TC- Patronal,9727 - IPERON- PENSIONISTA TC- Patronal
9728,IPERON- PENSIONISTA TC- Outros,9728 - IPERON- PENSIONISTA TC- Outros
9729,IPERON- PENS TC- Juros /M/AtM- Se rvidor,9729 - IPERON- PENS TC- Juros /M/AtM- Se rvidor
9730,IPERON- PENS TC- Juros /M/AtM- Patronal,9730 - IPERON- PENS TC- Juros /M/AtM- Patronal
9731,IPERON- PENSIONISTA IPERON CIVIL - Servidor,9731 - IPERON- PENSIONISTA IPERON CIVIL - Servidor
9732,IPERON- PENSIONISTA IPERON CIVIL - Patronal,9732 - IPERON- PENSIONISTA IPERON CIVIL - Patronal
9733,IPERON- PENSIONISTA IPERON CIVIL - Outros,9733 - IPERON- PENSIONISTA IPERON CIVIL - Outros
9734,IPERON- PENS IPERON CIVIL- Juros/M /AtM- Servidor,9734 - IPERON- PENS IPERON CIVIL- Juros/M /AtM- Servidor
9735,IPERON- PENS IPERON CIVIL- Juros/M /AtM- Patronal,9735 - IPERON- PENS IPERON CIVIL- Juros/M /AtM- Patronal
9736,IPERON- PENSIONISTA IPERON MILlTAR- Servidor,9736 - IPERON- PENSIONISTA IPERON MILlTAR- Servidor
9737,IPERON- PENSIONISTA IPERON MILlTAR- Patronal,9737 - IPERON- PENSIONISTA IPERON MILlTAR- Patronal
9738,IPERON- PENSIONISTA IPERON MILlTAR- Outros,9738 - IPERON- PENSIONISTA IPERON MILlTAR- Outros
9739,IPERON- PENS IPERON MILlT - Juros/M /AtM- Servidor,9739 - IPERON- PENS IPERON MILlT - Juros/M /AtM- Servidor
9740,IPERON- PENS IPERON MILlT - Juros/M /AtM- Patronal,9740 - IPERON- PENS IPERON MILlT - Juros/M /AtM- Patronal
9741,IPERON- INATIVO IPERON CIVIL- Servidor,9741 - IPERON- INATIVO IPERON CIVIL- Servidor
9742,IPERON- INATIVO IPERON CIVIL- Patronal,9742 - IPERON- INATIVO IPERON CIVIL- Patronal
9743,IPERON- INATIVO IPERON CIVIL- Outros,9743 - IPERON- INATIVO IPERON CIVIL- Outros
9744,IPERON- INAT IPERON CIV IL - Juros/M /AtM - Se rvidor,9744 - IPERON- INAT IPERON CIV IL - Juros/M /AtM - Se rvidor
